run,input,output,total_s,fps,1_grayscale_s,2_median_s,3_adapt_thresh_s,4_bilateral_s,5_combine_s,cpu_time_delta_s,rss_delta_bytes,rss_end_bytes
0,delft.png,sw_cartoon_run00.png,0.7322922330000097,1.3655750463216871,0.011005461000024752,0.2930848610000112,0.04610071700000162,0.33990149800001745,0.038689247000036175,1.0700000000000003,36864,93138944
1,delft.png,sw_cartoon_run01.png,0.7313087960000075,1.367411421098222,0.010937456000021939,0.2923948059999475,0.04610874100001183,0.3396950950000246,0.03863384299995687,1.0700000000000003,-229376,92909568
2,delft.png,sw_cartoon_run02.png,0.8118868230000089,1.2316987684378133,0.010951079999983904,0.2920605049999949,0.04611008000000538,0.42046031300003506,0.038861211999972056,1.0999999999999943,36864,92946432
3,delft.png,sw_cartoon_run03.png,0.7323235250000266,1.3655166956434504,0.010911496000005627,0.2918180639999832,0.04617743400001473,0.3411140640000099,0.03884834399997317,1.0700000000000003,36864,92983296
4,delft.png,sw_cartoon_run04.png,0.7312903559999882,1.3674459013377391,0.010944458000039958,0.29215610500000366,0.046146834000012404,0.3399566580000055,0.038666473999967366,1.0699999999999932,36864,93020160
5,delft.png,sw_cartoon_run05.png,0.7596993529999736,1.3163101904076977,0.010946572000023025,0.29179958099996384,0.046321999999975105,0.3684774700000162,0.038723317000005864,1.1000000000000014,36864,93057024
6,delft.png,sw_cartoon_run06.png,0.7300078570000323,1.3698482700028745,0.010947668000028443,0.2919804269999986,0.04610150100000965,0.3389845469999955,0.03857496599999877,1.0700000000000003,36864,93093888
7,delft.png,sw_cartoon_run07.png,0.7309030659999962,1.3681704818570362,0.010984556999972028,0.29184569200003807,0.046138997000014115,0.33977402099998244,0.03868432000001576,1.0700000000000003,36864,93130752
8,delft.png,sw_cartoon_run08.png,0.7323337799999763,1.3654975740707092,0.010919999999998709,0.2918954759999792,0.04616792299998451,0.341317489000005,0.038654817999997704,1.0700000000000003,-233472,92897280
9,delft.png,sw_cartoon_run09.png,0.7312706139999818,1.3674828180638814,0.01095171100001835,0.29169445200000155,0.046112458999971295,0.3403943410000352,0.03867758199999116,1.0700000000000003,36864,92934144
0,delft.png,sw_cartoon_run00.png,0.7333014449999951,1.363695662702542,0.010974402999977428,0.2922454150000249,0.04656835699995554,0.34132518699999537,0.038664402999984304,1.0700000000000003,36864,93052928
1,delft.png,sw_cartoon_run01.png,0.7664886109999998,1.3046508267035428,0.01091219999995019,0.3054644890000304,0.056235600000036357,0.3517457070000205,0.03858075099998359,1.0800000000000054,45056,93097984
2,delft.png,sw_cartoon_run02.png,0.7333901590000096,1.3635307042618592,0.010968330000025617,0.29360178399997494,0.04649135400001114,0.3402906489999964,0.038665335000018786,1.0699999999999932,36864,93134848
3,delft.png,sw_cartoon_run03.png,0.7337532969999643,1.362855886424792,0.010854695000034553,0.29361335700002655,0.04652364999998326,0.3406910489999859,0.038575019000006705,1.0700000000000074,36864,93171712
4,delft.png,sw_cartoon_run04.png,0.7349677260000362,1.360603962084657,0.010945870999989893,0.29334906099995806,0.046424362999971436,0.3421916579999902,0.038688938000007056,1.0799999999999983,-233472,92938240
5,delft.png,sw_cartoon_run05.png,0.7335305520000475,1.3632697333102157,0.01091121199999634,0.2938504850000072,0.04645946699997694,0.3400553930000001,0.03872812000003023,1.0600000000000023,36864,92975104
6,delft.png,sw_cartoon_run06.png,0.73237223000001,1.365425884594213,0.01093085500002644,0.29351526700003205,0.046440143999973316,0.339412134999975,0.03868203600001152,1.0700000000000003,36864,93011968
7,delft.png,sw_cartoon_run07.png,0.7332611459999612,1.3637706094958602,0.010936248999996678,0.29350708299995176,0.04642139700001735,0.3402829899999915,0.03863305900000569,1.0700000000000003,36864,93048832
8,delft.png,sw_cartoon_run08.png,0.7455574570000181,1.3412782483912247,0.010920827000006739,0.2939097899999865,0.046792143999994096,0.351811768999994,0.038725655000007464,1.0799999999999983,36864,93085696
9,delft.png,sw_cartoon_run09.png,0.7341987519999975,1.3620290109128426,0.010944219000009525,0.2943087069999706,0.04645258800002239,0.3403578209999978,0.03867459300005294,1.0700000000000003,36864,93122560
